"KPI, fastställda tal efter månad"

"månad","KPI, fastställda tal"
"1980M01",95.30
"1980M02",96.80
"1980M03",97.20
"1980M04",97.90
"1980M05",98.20
"1980M06",98.50
"1980M07",99.30
"1980M08",99.90
"1980M09",102.70
"1980M10",104.20
"1980M11",104.80
"1980M12",105.20
"1981M01",107.20
"1981M02",109.30
"1981M03",109.80
"1981M04",110.50
"1981M05",111.20
"1981M06",111.60
"1981M07",112.60
"1981M08",113.50
"1981M09",114.30
"1981M10",115.00
"1981M11",115.40
"1981M12",114.90
"1982M01",117.40
"1982M02",119.00
"1982M03",119.30
"1982M04",120.10
"1982M05",120.70
"1982M06",121.10
"1982M07",121.90
"1982M08",122.20
"1982M09",122.90
"1982M10",124.60
"1982M11",125.60
"1982M12",125.90
"1983M01",129.10
"1983M02",128.80
"1983M03",129.30
"1983M04",130.30
"1983M05",131.10
"1983M06",131.80
"1983M07",132.90
"1983M08",133.50
"1983M09",134.50
"1983M10",135.60
"1983M11",136.40
"1983M12",137.50
"1984M01",139.40
"1984M02",138.90
"1984M03",140.90
"1984M04",141.80
"1984M05",142.80
"1984M06",142.40
"1984M07",142.80
"1984M08",143.90
"1984M09",144.80
"1984M10",145.50
"1984M11",146.40
"1984M12",148.80
"1985M01",149.60
"1985M02",151.00
"1985M03",152.10
"1985M04",152.70
"1985M05",154.50
"1985M06",153.90
"1985M07",153.80
"1985M08",153.80
"1985M09",154.50
"1985M10",155.50
"1985M11",156.50
"1985M12",157.10
"1986M01",158.90
"1986M02",159.00
"1986M03",158.70
"1986M04",159.70
"1986M05",159.70
"1986M06",159.70
"1986M07",160.10
"1986M08",159.90
"1986M09",161.30
"1986M10",161.90
"1986M11",161.90
"1986M12",162.30
"1987M01",164.40
"1987M02",164.40
"1987M03",164.70
"1987M04",165.10
"1987M05",165.20
"1987M06",164.90
"1987M07",166.90
"1987M08",167.80
"1987M09",169.40
"1987M10",170.10
"1987M11",170.70
"1987M12",170.70
"1988M01",171.60
"1988M02",172.90
"1988M03",173.70
"1988M04",175.20
"1988M05",175.80
"1988M06",176.30
"1988M07",177.10
"1988M08",177.50
"1988M09",178.80
"1988M10",180.20
"1988M11",180.50
"1988M12",180.90
"1989M01",183.00
"1989M02",184.00
"1989M03",184.70
"1989M04",186.50
"1989M05",187.30
"1989M06",187.90
"1989M07",187.90
"1989M08",188.70
"1989M09",190.20
"1989M10",191.80
"1989M11",192.20
"1989M12",192.80
"1990M01",199.00
"1990M02",199.90
"1990M03",205.40
"1990M04",205.20
"1990M05",206.40
"1990M06",206.20
"1990M07",208.20
"1990M08",209.60
"1990M09",212.00
"1990M10",213.40
"1990M11",214.10
"1990M12",213.90
"1991M01",218.90
"1991M02",225.00
"1991M03",225.80
"1991M04",227.10
"1991M05",227.30
"1991M06",227.00
"1991M07",227.10
"1991M08",226.70
"1991M09",229.20
"1991M10",230.10
"1991M11",231.10
"1991M12",230.80
"1992M01",230.20
"1992M02",230.30
"1992M03",231.30
"1992M04",231.90
"1992M05",232.00
"1992M06",231.50
"1992M07",231.20
"1992M08",231.30
"1992M09",234.60
"1992M10",235.10
"1992M11",234.00
"1992M12",234.90
"1993M01",241.00
"1993M02",241.60
"1993M03",242.70
"1993M04",243.70
"1993M05",243.10
"1993M06",242.30
"1993M07",241.90
"1993M08",242.30
"1993M09",244.50
"1993M10",245.20
"1993M11",245.30
"1993M12",244.30
"1994M01",245.10
"1994M02",245.90
"1994M03",246.80
"1994M04",247.80
"1994M05",248.30
"1994M06",248.40
"1994M07",248.40
"1994M08",248.50
"1994M09",250.70
"1994M10",251.00
"1994M11",250.80
"1994M12",250.40
"1995M01",251.30
"1995M02",252.30
"1995M03",253.30
"1995M04",255.00
"1995M05",255.30
"1995M06",255.10
"1995M07",254.80
"1995M08",254.50
"1995M09",256.20
"1995M10",256.90
"1995M11",256.80
"1995M12",256.00
"1996M01",255.60
"1996M02",255.80
"1996M03",257.00
"1996M04",257.60
"1996M05",257.30
"1996M06",256.30
"1996M07",255.70
"1996M08",254.50
"1996M09",256.00
"1996M10",255.90
"1996M11",255.30
"1996M12",254.90
"1997M01",254.60
"1997M02",254.20
"1997M03",255.20
"1997M04",257.00
"1997M05",257.00
"1997M06",257.40
"1997M07",257.30
"1997M08",257.40
"1997M09",259.80
"1997M10",259.60
"1997M11",259.20
"1997M12",259.10
"1998M01",256.90
"1998M02",256.60
"1998M03",257.00
"1998M04",257.70
"1998M05",258.10
"1998M06",257.60
"1998M07",257.00
"1998M08",255.70
"1998M09",256.80
"1998M10",257.30
"1998M11",256.70
"1998M12",256.20
"1999M01",256.20
"1999M02",256.30
"1999M03",257.30
"1999M04",257.90
"1999M05",258.30
"1999M06",258.70
"1999M07",257.60
"1999M08",257.60
"1999M09",259.40
"1999M10",259.70
"1999M11",259.00
"1999M12",259.60
"2000M01",257.50
"2000M02",258.70
"2000M03",259.90
"2000M04",260.00
"2000M05",261.30
"2000M06",261.20
"2000M07",260.00
"2000M08",260.20
"2000M09",262.00
"2000M10",262.60
"2000M11",262.70
"2000M12",262.50
"2001M01",261.70
"2001M02",262.60
"2001M03",264.60
"2001M04",266.90
"2001M05",268.70
"2001M06",268.30
"2001M07",266.90
"2001M08",267.60
"2001M09",269.90
"2001M10",269.10
"2001M11",269.20
"2001M12",269.50
"2002M01",268.80
"2002M02",269.40
"2002M03",271.80
"2002M04",272.90
"2002M05",273.60
"2002M06",273.20
"2002M07",272.30
"2002M08",272.40
"2002M09",274.50
"2002M10",275.40
"2002M11",274.70
"2002M12",275.10
"2003M01",276.00
"2003M02",278.40
"2003M03",279.80
"2003M04",278.80
"2003M05",278.50
"2003M06",277.70
"2003M07",276.80
"2003M08",276.70
"2003M09",278.70
"2003M10",278.90
"2003M11",278.30
"2003M12",278.60
"2004M01",278.00
"2004M02",277.30
"2004M03",279.40
"2004M04",279.40
"2004M05",280.10
"2004M06",278.90
"2004M07",278.50
"2004M08",278.20
"2004M09",280.20
"2004M10",281.00
"2004M11",279.40
"2004M12",279.40
"2005M01",277.90
"2005M02",279.20
"2005M03",279.80
"2005M04",280.20
"2005M05",280.30
"2005M06",280.40
"2005M07",279.40
"2005M08",279.90
"2005M09",281.90
"2005M10",282.40
"2005M11",281.70
"2005M12",281.80
"2006M01",279.59
"2006M02",280.90
"2006M03",282.89
"2006M04",284.32
"2006M05",284.76
"2006M06",284.68
"2006M07",284.19
"2006M08",284.38
"2006M09",286.04
"2006M10",286.07
"2006M11",286.43
"2006M12",286.43
"2007M01",285.01
"2007M02",286.45
"2007M03",288.33
"2007M04",289.79
"2007M05",289.48
"2007M06",289.95
"2007M07",289.49
"2007M08",289.41
"2007M09",292.30
"2007M10",293.85
"2007M11",295.75
"2007M12",296.32
"2008M01",294.09
"2008M02",295.28
"2008M03",298.08
"2008M04",299.67
"2008M05",300.99
"2008M06",302.45
"2008M07",302.11
"2008M08",301.98
"2008M09",305.08
"2008M10",305.56
"2008M11",303.06
"2008M12",298.99
"2009M01",297.88
"2009M02",297.95
"2009M03",298.80
"2009M04",299.26
"2009M05",299.45
"2009M06",300.17
"2009M07",298.80
"2009M08",299.42
"2009M09",300.35
"2009M10",301.11
"2009M11",301.03
"2009M12",301.69
"2010M01",299.79
"2010M02",301.59
"2010M03",302.32
"2010M04",302.36
"2010M05",302.92
"2010M06",302.97
"2010M07",302.04
"2010M08",302.06
"2010M09",304.60
"2010M10",305.57
"2010M11",306.58
"2010M12",308.73
"2011M01",306.15
"2011M02",308.02
"2011M03",310.11
"2011M04",311.44
"2011M05",312.02
"2011M06",311.28
"2011M07",311.13
"2011M08",311.23
"2011M09",313.41
"2011M10",313.42
"2011M11",314.16
"2011M12",314.78
"2012M01",311.85
"2012M02",313.92
"2012M03",314.80
"2012M04",315.49
"2012M05",315.23
"2012M06",314.45
"2012M07",313.23
"2012M08",313.55
"2012M09",314.81
"2012M10",314.59
"2012M11",313.82
"2012M12",314.61
"2013M01",312.00
"2013M02",313.39
"2013M03",314.65
"2013M04",314.03
"2013M05",314.54
"2013M06",313.99
"2013M07",313.55
"2013M08",313.84
"2013M09",315.05
"2013M10",314.40
"2013M11",314.20
"2013M12",315.04
"2014M01",311.39
"2014M02",312.70
"2014M03",312.68
"2014M04",313.89
"2014M05",314.05
"2014M06",314.70
"2014M07",313.67
"2014M08",313.35
"2014M09",313.85
"2014M10",314.02
"2014M11",313.56
"2014M12",314.05
"2015M01",310.75
"2015M02",312.93
"2015M03",313.19
"2015M04",313.16
"2015M05",314.24
"2015M06",313.33
"2015M07",313.43
"2015M08",312.81
"2015M09",314.06
"2015M10",314.29
"2015M11",313.75
"2015M12",314.21
"2016M01",313.13
"2016M02",314.14
"2016M03",315.70
"2016M04",315.64
"2016M05",316.21
"2016M06",316.54
"2016M07",316.73
"2016M08",316.38
"2016M09",316.91
"2016M10",318.00
"2016M11",318.10
"2016M12",319.68
"2017M01",317.50
"2017M02",319.73
"2017M03",319.68
"2017M04",321.54
"2017M05",321.74
"2017M06",321.97
"2017M07",323.69
"2017M08",323.18
"2017M09",323.62
"2017M10",323.38
"2017M11",324.04
"2017M12",325.23
"2018M01",322.51
"2018M02",324.87
"2018M03",325.76
"2018M04",327.10
"2018M05",327.86
"2018M06",328.62
"2018M07",330.33
"2018M08",329.63
"2018M09",331.14
"2018M10",330.72
"2018M11",330.40
"2018M12",331.87
"2019M01",328.56
"2019M02",331.02
"2019M03",331.79
"2019M04",334.11
"2019M05",334.95
"2019M06",334.47
"2019M07",335.80
"2019M08",334.39
"2019M09",335.95
"2019M10",336.04
"2019M11",336.36
"2019M12",337.68
"2020M01",332.82
"2020M02",334.47
"2020M03",333.91
"2020M04",332.90
"2020M05",334.91
"2020M06",336.84
"2020M07",337.57
"2020M08",337.07
"2020M09",337.27
"2020M10",336.97
"2020M11",337.00
"2020M12",339.34
"2021M01",338.09
"2021M02",339.01
"2021M03",339.54
"2021M04",340.37
"2021M05",341.04
"2021M06",341.32
"2021M07",342.23
"2021M08",343.99
"2021M09",345.74
"2021M10",346.44
"2021M11",348.03
"2021M12",352.47
"2022M01",350.56
"2022M02",353.56
"2022M03",359.80
"2022M04",362.02
"2022M05",365.82
"2022M06",370.95
"2022M07",371.28
"2022M08",377.81
"2022M09",383.21
"2022M10",384.04
"2022M11",387.93
"2022M12",395.96
"2023M01",391.50
"2023M02",395.82
"2023M03",398.08
"2023M04",399.93
"2023M05",401.19
"2023M06",405.49
"2023M07",405.67
"2023M08",405.97
"2023M09",408.05
"2023M10",409.07
"2023M11",410.35
"2023M12",413.34
"2024M01",412.74
"2024M02",413.76
"2024M03",414.26
"2024M04",415.50
"2024M05",416.18
"2024M06",415.86
"2024M07",416.22
"2024M08",413.78
"2024M09",414.57
"2024M10",415.51
"2024M11",416.75
"2024M12",416.71
"2025M01",416.57
"2025M02",419.08
"2025M03",416.20
"2025M04",416.69
"2025M05",416.95
"2025M06",418.94
"2025M07",419.75
"2025M08",418.13
"2025M09",418.26
"2025M10",419.35
"2025M11",417.83
"2025M12",417.96
